match_id,team,opponent,stage,Result_category,passes_completed,passes_attempted,Passing_Accuracy
2026-M049-SCO-BRA,Scotland,Brazil,Group Stage,Loser,466,520,89.61538461538461
2026-M049-SCO-BRA,Brazil,Scotland,Group Stage,Winner,571,615,92.84552845528455
2026-M050-MAR-HAI,Morocco,Haiti,Group Stage,Winner,495,557,88.8689407540395
2026-M050-MAR-HAI,Haiti,Morocco,Group Stage,Loser,212,265,80.0
2026-M051-SUI-CAN,Switzerland,Canada,Group Stage,Winner,389,471,82.59023354564756
2026-M051-SUI-CAN,Canada,Switzerland,Group Stage,Loser,275,353,77.90368271954674
2026-M052-BIH-QAT,Bosnia and Herzegovina,Qatar,Group Stage,Winner,461,521,88.48368522072937
2026-M052-BIH-QAT,Qatar,Bosnia and Herzegovina,Group Stage,Loser,388,457,84.9015317286652
2026-M053-CZE-MEX,Czechia,Mexico,Group Stage,Loser,352,423,83.21513002364065
2026-M053-CZE-MEX,Mexico,Czechia,Group Stage,Winner,340,394,86.29441624365482
2026-M054-RSA-KOR,South Africa,Korea Republic,Group Stage,Winner,279,345,80.8695652173913
2026-M054-RSA-KOR,Korea Republic,South Africa,Group Stage,Loser,657,718,91.5041782729805
2026-M055-CUW-CIV,Curaçao,Côte d'Ivoire,Group Stage,Loser,312,369,84.5528455284553
2026-M055-CUW-CIV,Côte d'Ivoire,Curaçao,Group Stage,Winner,574,644,89.13043478260869
2026-M056-ECU-GER,Ecuador,Germany,Group Stage,Winner,325,389,83.54755784061697
2026-M056-ECU-GER,Germany,Ecuador,Group Stage,Loser,537,612,87.74509803921569
2026-M058-TUN-NED,Tunisia,Netherlands,Group Stage,Loser,208,265,78.49056603773586
2026-M058-TUN-NED,Netherlands,Tunisia,Group Stage,Winner,619,668,92.66467065868264
2026-M059-TUR-USA,Turkiye,USA,Group Stage,Winner,353,456,77.41228070175438
2026-M059-TUR-USA,USA,Turkiye,Group Stage,Loser,424,495,85.65656565656565
2026-M061-NOR-FRA,Norway,France,Group Stage,Loser,367,449,81.73719376391982
2026-M061-NOR-FRA,France,Norway,Group Stage,Winner,492,549,89.61748633879782
2026-M062-SEN-IRQ,Senegal,Iraq,Group Stage,Winner,523,585,89.40170940170941
2026-M062-SEN-IRQ,Iraq,Senegal,Group Stage,Loser,200,280,71.42857142857143
2026-M064-NZL-BEL,New Zealand,Belgium,Group Stage,Loser,379,450,84.22222222222221
2026-M064-NZL-BEL,Belgium,New Zealand,Group Stage,Winner,475,530,89.62264150943396
2026-M066-URU-ESP,Uruguay,Spain,Group Stage,Loser,241,305,79.01639344262294
2026-M066-URU-ESP,Spain,Uruguay,Group Stage,Winner,570,637,89.48194662480377
2026-M067-PAN-ENG,Panama,England,Group Stage,Loser,231,306,75.49019607843137
2026-M067-PAN-ENG,England,Panama,Group Stage,Winner,500,562,88.96797153024912
2026-M068-CRO-GHA,Croatia,Ghana,Group Stage,Winner,487,538,90.52044609665427
2026-M068-CRO-GHA,Ghana,Croatia,Group Stage,Loser,411,466,88.19742489270385
2026-M070-JOR-ARG,Jordan,Argentina,Group Stage,Loser,239,300,79.66666666666666
2026-M070-JOR-ARG,Argentina,Jordan,Group Stage,Winner,762,824,92.47572815533981
2026-M072-COD-UZB,Congo DR,Uzbekistan,Group Stage,Winner,419,495,84.64646464646465
2026-M072-COD-UZB,Uzbekistan,Congo DR,Group Stage,Loser,283,378,74.86772486772487
2026-M073-RSA-CAN,South Africa,Canada,Round of 32,Loser,486,575,84.52173913043478
2026-M073-RSA-CAN,Canada,South Africa,Round of 32,Winner,314,390,80.51282051282051
2026-M074-GER-PAR,Germany,Paraguay,Round of 32,Loser,752,834,90.16786570743405
2026-M074-GER-PAR,Paraguay,Germany,Round of 32,Winner,166,264,62.878787878787875
2026-M075-NED-MAR,Netherlands,Morocco,Round of 32,Loser,307,395,77.72151898734178
2026-M075-NED-MAR,Morocco,Netherlands,Round of 32,Winner,813,891,91.24579124579124
2026-M076-BRA-JPN,Brazil,Japan,Round of 32,Winner,652,715,91.18881118881119
2026-M076-BRA-JPN,Japan,Brazil,Round of 32,Loser,279,330,84.54545454545455
2026-M077-FRA-SWE,France,Sweden,Round of 32,Winner,498,548,90.87591240875912
2026-M077-FRA-SWE,Sweden,France,Round of 32,Loser,296,365,81.0958904109589
2026-M078-CIV-NOR,Côte d'Ivoire,Norway,Round of 32,Loser,353,406,86.94581280788178
2026-M078-CIV-NOR,Norway,Côte d'Ivoire,Round of 32,Winner,442,492,89.83739837398373
2026-M079-MEX-ECU,Mexico,Ecuador,Round of 32,Winner,259,317,81.70347003154575
2026-M079-MEX-ECU,Ecuador,Mexico,Round of 32,Loser,353,420,84.04761904761905
2026-M080-ENG-COD,England,Congo DR,Round of 32,Winner,482,523,92.16061185468452
2026-M080-ENG-COD,Congo DR,England,Round of 32,Loser,326,392,83.16326530612244
2026-M081-USA-BIH,USA,Bosnia and Herzegovina,Round of 32,Winner,362,425,85.1764705882353
2026-M081-USA-BIH,Bosnia and Herzegovina,USA,Round of 32,Loser,381,459,83.00653594771242
2026-M082-BEL-SEN,Belgium,Senegal,Round of 32,Winner,607,695,87.33812949640289
2026-M082-BEL-SEN,Senegal,Belgium,Round of 32,Loser,555,638,86.99059561128527
2026-M083-POR-CRO,Portugal,Croatia,Round of 32,Winner,538,588,91.49659863945578
2026-M083-POR-CRO,Croatia,Portugal,Round of 32,Loser,330,386,85.49222797927462
2026-M084-ESP-AUT,Spain,Austria,Round of 32,Winner,589,643,91.601866251944
2026-M084-ESP-AUT,Austria,Spain,Round of 32,Loser,291,360,80.83333333333333
2026-M085-SUI-ALG,Switzerland,Algeria,Round of 32,Winner,371,451,82.26164079822617
2026-M085-SUI-ALG,Algeria,Switzerland,Round of 32,Loser,491,571,85.98949211908932
2026-M086-ARG-CPV,Argentina,Cabo Verde,Round of 32,Winner,800,862,92.80742459396751
2026-M086-ARG-CPV,Cabo Verde,Argentina,Round of 32,Loser,425,491,86.55804480651732
2026-M087-COL-GHA,Colombia,Ghana,Round of 32,Winner,540,598,90.3010033444816
2026-M087-COL-GHA,Ghana,Colombia,Round of 32,Loser,329,390,84.35897435897436
2026-M088-AUS-EGY,Australia,Egypt,Round of 32,Loser,428,520,82.3076923076923
2026-M088-AUS-EGY,Egypt,Australia,Round of 32,Winner,638,729,87.51714677640604
2026-M089-PAR-FRA,Paraguay,France,Round of 16,Loser,108,191,56.54450261780105
2026-M089-PAR-FRA,France,Paraguay,Round of 16,Winner,526,587,89.60817717206133
2026-M090-CAN-MAR,Canada,Morocco,Round of 16,Loser,282,368,76.63043478260869
2026-M090-CAN-MAR,Morocco,Canada,Round of 16,Winner,420,499,84.16833667334669
2026-M091-BRA-NOR,Brazil,Norway,Round of 16,Loser,298,347,85.87896253602305
2026-M091-BRA-NOR,Norway,Brazil,Round of 16,Winner,627,683,91.800878477306
2026-M092-MEX-ENG,Mexico,England,Round of 16,Loser,448,485,92.37113402061856
2026-M092-MEX-ENG,England,Mexico,Round of 16,Winner,204,254,80.31496062992126
2026-M093-POR-ESP,Portugal,Spain,Round of 16,Loser,378,459,82.35294117647058
