Result_category,n,mean,median,mode,std_dev,variance,min,max,range,Q1,Q3,IQR,skewness
Loser,36.0,83.11,84.2,56.54,6.43,41.31,56.54,92.37,35.83,80.4,86.93,6.53,-2.02
Winner,44.0,87.97,89.41,53.8,6.04,36.5,53.8,93.04,39.24,87.47,90.53,3.05,-4.42
