,n,mean,std_dev,std_error,df,t_critical,margin_of_error,ci_lower,ci_upper
Winner,44.0,87.97,6.04,0.911,43.0,2.017,1.84,86.13,89.8
Loser,36.0,83.11,6.43,1.071,35.0,2.03,2.17,80.94,85.29
