Match,TEAM,OPPONENT,STAGE,RESULT,PASSES COMPLETED,PASSES ATTEMPTED
2026-M043-ARG-AUT,Austria,Argentina,Group Stage,L,416,475
2026-M044-JOR-ALG,Jordan,Algeria,Group Stage,L,201,270
2026-M044-JOR-ALG,Algeria,Jordan,Group Stage,W,590,661
2026-M045-ENG-GHA,England,Ghana,Group Stage,D,605,652
2026-M045-ENG-GHA,Ghana,England,Group Stage,D,128,179
2026-M046-PAN-CRO,Panama,Croatia,Group Stage,L,282,356
2026-M046-PAN-CRO,Croatia,Panama,Group Stage,W,445,518
2026-M047-POR-GHA,Portugal,Uzbekistan,Group Stage,W,577,639
2026-M047-POR-GHA,Uzbekistan,Portugal,Group Stage,L,278,347
2026-M048-COL-COD,Colombia,Congo DR,Group Stage,W,475,548
2026-M048-COL-COD,Congo DR,Colombia,Group Stage,L,236,315
2026-M049-SCO-BRA,Scotland,Brazil,Group Stage,L,466,520
2026-M049-SCO-BRA,Brazil,Scotland,Group Stage,W,571,615
2026-M050-MAR-HAI,Morocco,Haiti,Group Stage,W,495,557
2026-M050-MAR-HAI,Haiti,Morocco,Group Stage,L,212,265
2026-M051-SUI-CAN,Switzerland,Canada,Group Stage,W,389,471
2026-M051-SUI-CAN,Canada,Switzerland,Group Stage,L,275,353
2026-M052-BIH-QAT,Bosnia and Herzegovina,Qatar,Group Stage,W,461,521
2026-M052-BIH-QAT,Qatar,Bosnia and Herzegovina,Group Stage,L,388,457
2026-M053-CZE-MEX,Czechia,Mexico,Group Stage,L,352,423
2026-M053-CZE-MEX,Mexico,Czechia,Group Stage,W,340,394
2026-M054-RSA-KOR,South Africa,Korea Republic,Group Stage,W,279,345
2026-M054-RSA-KOR,Korea Republic,South Africa,Group Stage,L,657,718
2026-M055-CUW-CIV,Curaçao,Côte d'Ivoire,Group Stage,L,312,369
2026-M055-CUW-CIV,Côte d'Ivoire,Curaçao,Group Stage,W,574,644
2026-M056-ECU-GER,Ecuador,Germany,Group Stage,W,325,389
2026-M056-ECU-GER,Germany,Ecuador,Group Stage,L,537,612
2026-M057-JPN-SWE,Japan,Sweden,Group Stage,D,381,454
2026-M057-JPN-SWE,Sweden,Japan,Group Stage,D,330,410
2026-M058-TUN-NED,Tunisia,Netherlands,Group Stage,L,208,265
2026-M058-TUN-NED,Netherlands,Tunisia,Group Stage,W,619,668
