,n,mean,std_dev,std_error,df,t_critical,margin_of_error,ci_lower,ci_upper
Group Stage,30.0,22.27,5.32,0.972,29.0,2.045,1.99,20.28,24.25
Knockout,30.0,24.9,7.39,1.349,29.0,2.045,2.76,22.14,27.66
