match_report,round,date,Stage,Total_Fouls
/en/matches/acc93b55/Egypt-IR-Iran-June-26-2026-World-Cup,Group stage,2026-06-26,Group Stage,27.0
/en/matches/b2f307a9/Switzerland-Algeria-July-2-2026-World-Cup,Round of 32,2026-07-02,Knockout,22.0
/en/matches/b709bfa1/Canada-Morocco-July-4-2026-World-Cup,Round of 16,2026-07-04,Knockout,38.0
/en/matches/bc0e570b/Uruguay-Cabo-Verde-June-21-2026-World-Cup,Group stage,2026-06-21,Group Stage,15.0
/en/matches/bebca560/Netherlands-Morocco-June-29-2026-World-Cup,Round of 32,2026-06-29,Knockout,33.0
/en/matches/bedbfe84/Spain-Argentina-July-19-2026-World-Cup,Final,2026-07-19,Knockout,46.0
/en/matches/beebb792/Korea-Republic-Czechia-June-11-2026-World-Cup,Group stage,2026-06-11,Group Stage,25.0
/en/matches/c069f408/France-Morocco-July-9-2026-World-Cup,Quarter-finals,2026-07-09,Knockout,23.0
/en/matches/c100284d/Spain-Cabo-Verde-June-15-2026-World-Cup,Group stage,2026-06-15,Group Stage,11.0
/en/matches/c4104726/South-Africa-Canada-June-28-2026-World-Cup,Round of 32,2026-06-28,Knockout,26.0
/en/matches/c42ce3be/England-Croatia-June-17-2026-World-Cup,Group stage,2026-06-17,Group Stage,22.0
/en/matches/c8fa19f5/Paraguay-Australia-June-25-2026-World-Cup,Group stage,2026-06-25,Group Stage,15.0
/en/matches/c95830e9/Portugal-Congo-DR-June-17-2026-World-Cup,Group stage,2026-06-17,Group Stage,19.0
/en/matches/c96f559b/Belgium-IR-Iran-June-21-2026-World-Cup,Group stage,2026-06-21,Group Stage,16.0
/en/matches/ca7eecdb/Ecuador-Curacao-June-20-2026-World-Cup,Group stage,2026-06-20,Group Stage,17.0
/en/matches/cc4ebc5b/Ecuador-Germany-June-25-2026-World-Cup,Group stage,2026-06-25,Group Stage,25.0
/en/matches/cf968279/Belgium-Senegal-July-1-2026-World-Cup,Round of 32,2026-07-01,Knockout,34.0
/en/matches/d280258e/Cote-dIvoire-Norway-June-30-2026-World-Cup,Round of 32,2026-06-30,Knockout,13.0
/en/matches/d4ac0040/Colombia-Ghana-July-3-2026-World-Cup,Round of 32,2026-07-03,Knockout,24.0
/en/matches/d5699a16/New-Zealand-Egypt-June-21-2026-World-Cup,Group stage,2026-06-21,Group Stage,22.0
/en/matches/d7e30dec/Panama-England-June-27-2026-World-Cup,Group stage,2026-06-27,Group Stage,29.0
/en/matches/da47849b/France-Sweden-June-30-2026-World-Cup,Round of 32,2026-06-30,Knockout,24.0
/en/matches/dabafdc1/Brazil-Norway-July-5-2026-World-Cup,Round of 16,2026-07-05,Knockout,13.0
/en/matches/ded93e98/Colombia-Portugal-June-27-2026-World-Cup,Group stage,2026-06-27,Group Stage,18.0
/en/matches/e7d8a062/Argentina-Austria-June-22-2026-World-Cup,Group stage,2026-06-22,Group Stage,26.0
/en/matches/eb19002c/Jordan-Algeria-June-22-2026-World-Cup,Group stage,2026-06-22,Group Stage,17.0
/en/matches/ed14068b/Spain-Belgium-July-10-2026-World-Cup,Quarter-finals,2026-07-10,Knockout,31.0
/en/matches/f26b468c/Czechia-Mexico-June-24-2026-World-Cup,Group stage,2026-06-24,Group Stage,22.0
/en/matches/f2e8741b/Colombia-Congo-DR-June-23-2026-World-Cup,Group stage,2026-06-23,Group Stage,28.0
/en/matches/f527457d/New-Zealand-Belgium-June-26-2026-World-Cup,Group stage,2026-06-26,Group Stage,17.0
/en/matches/f6c0596c/United-States-Paraguay-June-12-2026-World-Cup,Group stage,2026-06-12,Group Stage,30.0
/en/matches/f6d2bd84/Canada-Bosnia-and-Herzegovina-June-12-2026-World-Cup,Group stage,2026-06-12,Group Stage,30.0
/en/matches/f8ee7eef/Cote-dIvoire-Ecuador-June-14-2026-World-Cup,Group stage,2026-06-14,Group Stage,23.0
/en/matches/faa0cb98/Netherlands-Japan-June-14-2026-World-Cup,Group stage,2026-06-14,Group Stage,14.0
/en/matches/fb7171eb/Switzerland-Colombia-July-7-2026-World-Cup,Round of 16,2026-07-07,Knockout,43.0
/en/matches/fe9daeb3/Portugal-Spain-July-6-2026-World-Cup,Round of 16,2026-07-06,Knockout,22.0
