Stage,n,mean,median,mode,std_dev,variance,min,max,range,Q1,Q3,IQR,skewness
Group Stage,30.0,22.27,22.0,18.0,5.32,28.34,12.0,32.0,20.0,18.0,25.75,7.75,0.26
Knockout,30.0,24.9,24.0,24.0,7.39,54.58,13.0,46.0,33.0,21.25,26.0,4.75,1.14
